Year;Month;Day;Death;Tmax;Tmin
1990;1;1;85;-1.39;-8.492
1990;1;2;87;0.17;-12.976
1990;1;3;87;3.71;-2.504
1990;1;4;93;5.276;-1.134
1990;1;5;89;-2.714;-8.138
1990;1;6;95;-1.276;-10.224
1990;1;7;81;1.062;-16.076
1990;1;8;104;3.4;-5.692
1990;1;9;89;2.648;-8.404
1990;1;10;89;0.548;-3.22
1990;1;11;96;0.73;-8.502
1990;1;12;108;0.336;-4.002
1990;1;13;71;-11.6877551;-17.11020408
1990;1;14;79;-13.01020408;-24.08571429
1990;1;15;95;-5.391836735;-21.84897959
1990;1;16;83;-2.116326531;-10.6
1990;1;17;94;7.557142857;-8.208163265
1990;1;18;101;5.981632653;0.085714286
1990;1;19;88;-5.948979592;-11.73469388
1990;1;20;92;-1.208163265;-14.89183673
1990;1;21;70;-10.53469388;-16.17346939
1990;1;22;82;-3.46;-14.442
1990;1;23;92;0.588;-11.026
1990;1;24;79;5.788;-7.07
1990;1;25;88;7.224;-0.144
1990;1;26;93;2.924;0.238
1990;1;27;70;5.778;-6.786
1990;1;28;92;3.878;-2.948
1990;1;29;91;0.832;-5.714
1990;1;30;98;-0.84;-3.654
1990;1;31;66;1.51;-8.91
1990;2;1;92;5.004;-5.952
1990;2;2;68;-8.384;-13.692
1990;2;3;96;-12.282;-21.966
1990;2;4;75;-10.132;-17.014
1990;2;5;68;-2.188;-24.192
1990;2;6;81;2.38;-12.16
1990;2;7;73;2.688;-11.808
1990;2;8;72;6.18;-8.678
1990;2;9;86;7.188;-0.22
1990;2;10;85;3.064;-2.1
1990;2;11;74;-1.352;-7.166
1990;2;12;75;-3.206;-16.086
1990;2;13;76;3.024;-11.894
1990;2;14;85;-5.012;-9.944
1990;2;15;74;-5.708;-13.246
1990;2;16;89;-1.952;-9.978
1990;2;17;64;-8.116;-14.53
1990;2;18;74;-1.592;-24.472
1990;2;19;80;1.594;-14.642
1990;2;20;83;-7.778;-18.868
1990;2;21;80;4.722;-18.492
1990;2;22;76;7.756;-2.068
1990;2;23;73;-1.306;-4.33
1990;2;24;68;-8.334;-14.02
1990;2;25;81;-13.24;-17.95
1990;2;26;83;-9.902;-24.69
1990;2;27;72;-3.262;-17.366
1990;2;28;80;-8.05;-18.168
1990;3;1;83;1.594;-19.57
1990;3;2;77;6.064;-1.518
1990;3;3;85;-3.706;-9.312
1990;3;4;71;-7.982;-14.952
1990;3;5;103;-8.76;-20.312
1990;3;6;57;-8.77;-20.846
1990;3;7;76;-5.794;-20.616
1990;3;8;70;1.164;-16.494
1990;3;9;79;5.808;-10.156
1990;3;10;85;5.668;-7.942
1990;3;11;96;8;-0.438
1990;3;12;78;8.552;-1.648
1990;3;13;91;5.144;0.442
1990;3;14;78;5.859183673;0.42244898
1990;3;15;78;9.063265306;0.614285714
1990;3;16;84;14.98979592;0.202040816
1990;3;17;64;10.34489796;4.824489796
1990;3;18;69;5.893877551;1.483673469
1990;3;19;76;6.106122449;-2.675510204
1990;3;20;85;2.826530612;-0.52244898
1990;3;21;78;6.781632653;-0.6
1990;3;22;80;9.644897959;-4
1990;3;23;56;3.818367347;-4.697959184
1990;3;24;75;-0.767346939;-9.987755102
1990;3;25;66;3.057142857;-7.92244898
1990;3;26;61;0.087755102;-7.4
1990;3;27;72;-2.564;-15.388
1990;3;28;88;2.38;-8.93
1990;3;29;77;0.762;-12.638
1990;3;30;78;4.33;-9.418
1990;3;31;74;5.392;-1.082
1990;4;1;61;9.226;0.024
1990;4;2;66;5.760784314;1.582352941
1990;4;3;82;5.258823529;1.576470588
1990;4;4;68;6.715686275;1.733333333
1990;4;5;68;4.22745098;0.852941176
1990;4;6;72;2.907843137;-2.233333333
1990;4;7;80;3.005882353;-5.211764706
1990;4;8;65;6.023529412;-5.562745098
1990;4;9;76;9.937254902;-3.911764706
1990;4;10;71;3.598039216;-0.384313725
1990;4;11;82;1.366666667;-2.584313725
1990;4;12;69;-0.11372549;-7.1
1990;4;13;58;5.588235294;-8.615686275
1990;4;14;80;8.221568627;-2.517647059
1990;4;15;65;10.17647059;2.949019608
1990;4;16;70;8.005882353;0.876470588
1990;4;17;76;8.378431373;-0.07254902
1990;4;18;64;4.992156863;-5.174509804
1990;4;19;69;14.8745098;-2.333333333
1990;4;20;69;13.04313725;5.252941176
1990;4;21;61;12.89411765;5.339215686
1990;4;22;86;17.78235294;-1.056862745
1990;4;23;66;15.38235294;3.180392157
1990;4;24;66;18.62941176;0.778431373
1990;4;25;67;14.12941176;7.288235294
1990;4;26;85;24.49607843;8.639215686
1990;4;27;81;30.15098039;14.06666667
1990;4;28;85;23.89215686;12.16666667
1990;4;29;65;23.61960784;8.554901961
1990;4;30;73;23.10588235;10.7254902
1990;5;1;61;23.03921569;11.53333333
1990;5;2;61;12.14313725;4.366666667
1990;5;3;66;15.56862745;-0.905882353
1990;5;4;80;18.1;0.42745098
1990;5;5;71;10.20392157;5.864705882
1990;5;6;74;14.48823529;1.864705882
1990;5;7;75;14.96666667;4.015686275
1990;5;8;77;17.48431373;1.807843137
1990;5;9;75;22.64313725;7.354901961
1990;5;10;71;23.05490196;9.888235294
1990;5;11;81;10.50196078;4.756862745
1990;5;12;77;17.81372549;1.360784314
1990;5;13;76;13.342;7.23
1990;5;14;69;21.47843137;3.464705882
1990;5;15;77;17.06078431;6.909803922
1990;5;16;82;18.04509804;5.82745098
1990;5;17;61;13.70784314;9.633333333
1990;5;18;66;14.51764706;8.378431373
1990;5;19;57;11.16666667;5.596078431
1990;5;20;56;12.17058824;3.884313725
1990;5;21;74;10.85098039;5.482352941
1990;5;22;65;11.61764706;3.692156863
1990;5;23;57;13.83921569;4.37254902
1990;5;24;78;19.52156863;2.003921569
1990;5;25;70;20.95490196;4.11372549
1990;5;26;75;24.51960784;3.947058824
1990;5;27;92;25.91372549;6.578431373
1990;5;28;91;25.93529412;8.290196078
1990;5;29;71;14.55686275;5.574509804
1990;5;30;71;16.97254902;6.456862745
1990;5;31;65;21.07647059;5.309803922
1990;6;1;74;26.31764706;11.23921569
1990;6;2;95;27.24901961;11.49803922
1990;6;3;76;24.73529412;17.48039216
1990;6;4;73;14.54313725;10.16078431
1990;6;5;67;14.28235294;3.531372549
1990;6;6;68;17.22745098;3.335294118
1990;6;7;78;22.14313725;8.868627451
1990;6;8;74;23.76862745;6.549019608
1990;6;9;57;19.62941176;13.05686275
1990;6;10;56;18.23137255;12.91568627
1990;6;11;81;22.41372549;10.78627451
1990;6;12;76;25.91764706;6.892156863
1990;6;13;60;23.52745098;12.85490196
1990;6;14;73;27.86470588;16.9627451
1990;6;15;76;25.60196078;17.90588235
1990;6;16;67;28.00392157;16.9
1990;6;17;67;28.472;16.778
1990;6;18;80;27.454;19.468
1990;6;19;58;21.756;15.4
1990;6;20;60;17.986;11.08
1990;6;21;67;19.004;13.332
1990;6;22;75;25.998;14.25
1990;6;23;64;23.828;16.074
1990;6;24;71;22.296;14.88
1990;6;25;81;23.358;14.364
1990;6;26;75;26.674;13.686
1990;6;27;77;22.254;16.13
1990;6;28;69;19.726;9.668
1990;6;29;100;17.93;8.796
1990;6;30;66;22.544;11.352
1990;7;1;56;22.31764706;14.30980392
1990;7;2;67;25.89607843;10.83333333
1990;7;3;76;25.56078431;14.18823529
1990;7;4;65;24.37058824;18.11372549
1990;7;5;54;20.74313725;14.7
1990;7;6;60;20.47647059;7.529411765
1990;7;7;90;23.46666667;7.670588235
1990;7;8;68;24.8745098;10.80392157
1990;7;9;65;26.81372549;16.89411765
1990;7;10;56;23.83921569;15.69019608
1990;7;11;72;23.87843137;10.42156863
1990;7;12;58;21.42941176;10.57647059
1990;7;13;71;24.45882353;8.28627451
1990;7;14;80;26.86666667;10.32745098
1990;7;15;55;28.29803922;18.2
1990;7;16;83;26.84509804;20.91372549
1990;7;17;63;27.69803922;16.76470588
1990;7;18;76;29.91764706;19.54313725
1990;7;19;84;27.8372549;20.19215686
1990;7;20;80;22.57254902;16.99019608
1990;7;21;80;26.59019608;16.24509804
1990;7;22;71;26.34901961;15.86078431
1990;7;23;81;20.62156863;16.55882353
1990;7;24;55;25.21568627;15.7372549
1990;7;25;92;27.35294118;14.83921569
1990;7;26;73;29.30392157;14.92745098
1990;7;27;63;30.01568627;15.70588235
1990;7;28;67;30.44117647;16.17843137
1990;7;29;81;30.74901961;15.81568627
1990;7;30;65;30.96862745;17.92156863
1990;7;31;77;21.44705882;15.27254902
1990;8;1;70;25.10392157;11.9627451
1990;8;2;71;28.2745098;13.16862745
1990;8;3;65;29.29607843;16.97254902
1990;8;4;71;29.98627451;16.2254902
1990;8;5;72;27.566;17.812
1990;8;6;56;21.214;17.438
1990;8;7;66;20.702;16.93
1990;8;8;59;25.48;14.678
1990;8;9;64;26.368;13.556
1990;8;10;78;24.674;17.218
1990;8;11;80;26.278;17.916
1990;8;12;49;25.752;16.064
1990;8;13;63;17.73;14.844
1990;8;14;71;23.614;12.61
1990;8;15;68;22.902;13.686
1990;8;16;61;25.706;14.114
1990;8;17;79;28.682;15.038
1990;8;18;60;27.554;15.714
1990;8;19;66;19.62352941;9.292
1990;8;20;46;22.20588235;7.135294118
1990;8;21;73;23.48235294;7.843137255
1990;8;22;73;25.71960784;8.743137255
1990;8;23;61;27.08823529;11.40784314
1990;8;24;71;27.25882353;12.85294118
1990;8;25;75;28.8254902;17.20784314
1990;8;26;74;29.82352941;17.56470588
1990;8;27;84;27.01372549;18.41960784
1990;8;28;67;28.44705882;14.63529412
1990;8;29;56;24.23137255;15.94313725
1990;8;30;56;23.03333333;9.647058824
1990;8;31;79;26.07647059;11.50980392
1990;9;1;79;26.54901961;12.8254902
1990;9;2;72;22.93137255;16.05098039
1990;9;3;59;21.06078431;8.752941176
1990;9;4;65;23.87647059;5.745098039
1990;9;5;79;21.16078431;15.11176471
1990;9;6;76;23.88235294;11.55882353
1990;9;7;71;19.33921569;12.0627451
1990;9;8;61;17.63333333;1.9
1990;9;9;64;20.1;4.48627451
1990;9;10;66;18.46862745;8.788235294
1990;9;11;71;19.87058824;11.14117647
1990;9;12;69;23.93921569;6.074509804
1990;9;13;68;19.78431373;11.96862745
1990;9;14;67;25.89019608;12.75098039
1990;9;15;73;18.69019608;9.523529412
1990;9;16;64;13.54705882;6.443137255
1990;9;17;65;10.53921569;3.719607843
1990;9;18;69;12.41568627;3.7
1990;9;19;64;15.95882353;1.517647059
1990;9;20;73;14.39607843;8.370588235
1990;9;21;56;15.56862745;7.717647059
